rank,title,score,members,episodes,year,link,members_normalized,members_log,episodes_category
42,Sen to Chihiro no Kamikakushi,8.77,1910928,1.0,2001,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,0.6701819511938727,14.463100069209341,1 Episódio
43,Shingeki no Kyojin: The Final Season Part 2,8.76,1378948,12.0,2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,0.47996756222157305,14.136832172770292,Série curta
44,Vinland Saga,8.76,1610961,24.0,2019,https://myanimelist.net/anime/37521/Vinland_Saga,0.5629259648469164,14.292342074047271,Série média
45,Monogatari Series: Second Season,8.76,686299,26.0,2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,0.23230448032512152,13.439070128896725,Série longa
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.75,303243,1.0,2022,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,0.09533925046277111,12.622293040955158,1 Episódio
47,Cowboy Bebop,8.75,1926494,26.0,1998,https://myanimelist.net/anime/1/Cowboy_Bebop,0.6757477190399248,14.471212847664757,Série longa
48,The First Slam Dunk,8.74,56263,1.0,2022,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,0.007029258003696449,10.937810177987854,1 Episódio
49,Monogatari Series: Off & Monster Season,8.74,78118,14.0,2024,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,0.014843716199473746,11.265988584089431,Série média
50,Kimetsu no Yaiba: Yuukaku-hen,8.73,1536682,11.0,2021,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,0.5363668186412819,14.245136755315478,Série curta
51,Kingdom 4th Season,8.73,71339,26.0,2022,https://myanimelist.net/anime/50160/Kingdom_4th_Season,0.012419821799603038,11.175212458912883,Série longa
52,Kingdom 5th Season,8.73,43289,13.0,2024,https://myanimelist.net/anime/53223/Kingdom_5th_Season,0.002390283826985643,10.675676940436027,Série média
53,Look Back,8.73,108583,1.0,2024,https://myanimelist.net/anime/58125/Look_Back,0.025736759847808467,11.5952793459778,1 Episódio
54,Ashita no Joe 2,8.73,55849,47.0,1980,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,0.006881228459287764,10.930424804497347,Série longa
55,Shiguang Dailiren,8.73,401556,11.0,2021,https://myanimelist.net/anime/44074/Shiguang_Dailiren,0.13049197654840156,12.903104769913924,Série curta
56,Mushishi Zoku Shou 2nd Season,8.72,274808,10.0,2014,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,0.08517205216503937,12.523831589885729,Série curta
57,One Piece,8.72,2461472,0.0,1999,https://myanimelist.net/anime/21/One_Piece,0.8670340707516863,14.716270509198845,Série curta
58,Hibike! Euphonium 3,8.72,77520,13.0,2024,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,0.01462989574643898,11.258304146378245,Série média
