rank,title,score,members,episodes,year,link
71,Howl no Ugoku Shiro,8.67,1389662,1,2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
72,Mononoke Hime,8.66,1296604,1,1997,https://myanimelist.net/anime/164/Mononoke_Hime
73,Natsume Yuujinchou Shichi,8.66,36604,12,2024,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi
74,Tian Guan Cifu Er,8.66,50746,12,2023,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,368273,1,2020,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
76,Mushishi,8.65,854795,26,2005,https://myanimelist.net/anime/457/Mushishi
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.65,996749,12,2021,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
78,Odd Taxi,8.65,458492,13,2021,https://myanimelist.net/anime/46102/Odd_Taxi
79,Made in Abyss,8.64,1438069,13,2017,https://myanimelist.net/anime/34599/Made_in_Abyss
80,Natsume Yuujinchou Shi,8.64,252150,13,2012,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
81,Shigatsu wa Kimi no Uso,8.64,2276131,22,2014,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
82,Haikyuu!! Movie: Gomisuteba no Kessen,8.64,159218,1,2024,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen
83,Bungou Stray Dogs 5th Season,8.63,210061,11,2023,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season
84,Shiguang Dailiren II,8.63,128229,12,2023,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II
85,Shingeki no Kyojin Season 3,8.63,2460108,12,2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
86,Tengen Toppa Gurren Lagann,8.63,1658331,27,2007,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
87,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,1394038,12,2020,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
88,Made in Abyss: Retsujitsu no Ougonkyou,8.62,477980,12,2022,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
89,Ping Pong the Animation,8.62,408200,11,2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
90,"""Oshi no Ko"" 2nd Season",8.62,388423,13,2024,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
91,Death Note,8.62,4021170,37,2006,https://myanimelist.net/anime/1535/Death_Note
92,Haikyuu!! Second Season,8.62,1477029,25,2015,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
93,Cyberpunk: Edgerunners,8.61,844162,10,2022,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
94,Dungeon Meshi,8.61,409630,24,2024,https://myanimelist.net/anime/52701/Dungeon_Meshi
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,488359,1,2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
96,Natsume Yuujinchou Roku,8.61,192829,11,2017,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
97,Suzumiya Haruhi no Shoushitsu,8.6,622830,1,2010,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
98,"""Oshi no Ko""",8.6,894720,11,2023,https://myanimelist.net/anime/52034/Oshi_no_Ko
99,Hajime no Ippo: Rising,8.6,271976,25,2013,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
100,Kenpuu Denki Berserk,8.59,695738,25,1997,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
